Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
1,Jamar Henry,Trike Motorsports,1:17.890,1:18.060,1:18.125,1:18.103,1:18.020,1:17.890,-,POLE
2,Mark Graham,Trike Motorsports,1:18.078,1:17.960,1:18.042,1:18.006,1:18.093,1:17.960,+0.070,+0.070
3,Sydney Aspen,Villiuride Racing,1:18.050,1:18.067,1:18.189,1:18.049,1:17.974,1:17.974,+0.013,+0.083
4,Al Fabet,Villiuride Racing,1:18.095,1:17.999,1:18.232,1:18.003,1:18.008,1:17.999,+0.025,+0.108
5,Berend Boer,Orange Wheel Racing,1:18.115,1:18.097,1:18.298,1:18.258,1:18.006,1:18.006,+0.007,+0.115
6,Damien Quibuyen,Mercedes AMG Motorsport,1:18.175,1:18.190,1:18.200,1:18.311,1:18.025,1:18.025,+0.019,+0.134
7,Ye Li,Racing Life,1:18.156,1:18.042,1:18.359,1:18.093,1:18.120,1:18.042,+0.017,+0.151
8,Franc Abel,Orange Wheel Racing,1:18.210,1:18.222,1:18.072,1:18.263,1:18.107,1:18.072,+0.031,+0.182
9,Aida Haque,Scuderia Ivanov Racing,1:18.357,1:18.237,1:18.291,1:18.323,1:18.129,1:18.129,+0.056,+0.238
10,Kanno Sora,LFL Engineering,1:18.143,1:18.307,1:18.286,1:18.163,1:18.129,1:18.129,+0.001,+0.239
11,Monica Niculescu,Dacia Racing Team,1:18.214,1:18.354,1:18.290,1:18.307,1:18.442,1:18.214,+0.084,+0.323
12,Aleksa Kozlov,LFL Engineering,1:18.219,1:18.330,1:18.385,1:18.258,1:18.393,1:18.219,+0.006,+0.329
13,Ananda Chohan,Mercedes AMG Motorsport,1:18.301,1:18.325,1:18.403,1:18.333,1:18.229,1:18.229,+0.010,+0.339
14,Eli Huertez,Pulang Kabayo Racing,1:18.478,1:18.445,1:18.473,1:18.322,1:18.445,1:18.322,+0.093,+0.432
15,Niamh Murphy,Racing Life,1:18.344,1:18.330,1:18.470,1:18.355,1:18.435,1:18.330,+0.008,+0.440
16,Nelson Ramsey,Scuderia Ivanov Racing,1:18.409,1:18.519,1:18.421,1:18.639,1:18.355,1:18.355,+0.025,+0.464
17,Fidan Basak,Pulang Kabayo Racing,1:18.434,1:18.513,1:18.525,1:18.582,1:18.577,1:18.434,+0.079,+0.543
18,Liesje Roser,Dacia Racing Team,1:18.561,1:18.567,1:18.524,1:18.633,1:18.455,1:18.455,+0.021,+0.564
19,Thorleif Valtyrsdotter,OHSN Racing,1:18.563,1:18.483,1:18.584,1:18.657,1:18.636,1:18.483,+0.028,+0.592
20,Erwin Kramer,OHSN Racing,1:18.659,1:18.641,1:18.730,1:18.782,1:18.767,1:18.641,+0.158,+0.750
