Track,Position,Driver,Team,Lap 1,Lap 2,Lap 3,Lap 4,Lap 5,Fastest Lap,Gap Ahead,Gap to Leader
Zandvoort,1,Damien Quibuyen,Mercedes AMG Motorsport,1:18.218,1:18.210,1:18.161,1:17.942,1:18.104,1:17.942,-,POLE
Zandvoort,2,Berend Boer,Shell Motorsports,1:18.058,1:18.130,1:18.012,1:18.175,1:18.143,1:18.012,+0.070,+0.070
Zandvoort,3,Franc Abel,Shell Motorsports,1:18.211,1:18.174,1:18.093,1:18.170,1:18.125,1:18.093,+0.081,+0.151
Zandvoort,4,Ye Li,Racing Life,1:18.277,1:18.324,1:18.150,1:18.333,1:18.419,1:18.150,+0.057,+0.208
Zandvoort,5,Niamh Murphy,Racing Life,1:18.198,1:18.399,1:18.267,1:18.257,1:18.313,1:18.198,+0.048,+0.256
Zandvoort,6,Ananda Chohan,Mercedes AMG Motorsport,1:18.262,1:18.343,1:18.257,1:18.262,1:18.269,1:18.257,+0.059,+0.315
Zandvoort,7,Mark Graham,Trike Motorsports,1:18.347,1:18.366,1:18.399,1:18.266,1:18.313,1:18.266,+0.009,+0.324
Zandvoort,8,Jamar Henry,Trike Motorsports,1:18.473,1:18.311,1:18.350,1:18.322,1:18.367,1:18.311,+0.045,+0.369
Zandvoort,9,Kanno Sora,LFL Engineering,1:18.390,1:18.402,1:18.473,1:18.319,1:18.492,1:18.319,+0.008,+0.377
Zandvoort,10,Eli Huertez,Pulang Kabayo Racing,1:18.679,1:18.457,1:18.441,1:18.365,1:18.388,1:18.365,+0.046,+0.423
Zandvoort,11,Sydney Aspen,Villiuride Racing,Invalid,1:18.487,1:18.481,1:18.517,1:18.395,1:18.395,+0.030,+0.453
Zandvoort,12,Al Fabet,Villiuride Racing,1:18.445,1:18.406,1:18.398,1:18.586,1:18.452,1:18.398,+0.003,+0.456
Zandvoort,13,Liesje Roser,Dacia Racing Team,1:18.571,1:18.402,1:18.620,1:18.605,1:18.440,1:18.402,+0.004,+0.460
Zandvoort,14,Aleksa Kozlov,LFL Engineering,1:18.438,1:18.426,1:18.560,1:18.557,1:18.576,1:18.426,+0.024,+0.484
Zandvoort,15,Fidan Basak,Pulang Kabayo Racing,1:18.519,1:18.527,1:18.695,1:18.648,1:18.595,1:18.519,+0.093,+0.577
Zandvoort,16,Aida Haque,Icarus,1:18.764,1:18.754,1:18.822,1:18.760,1:18.618,1:18.618,+0.099,+0.676
Zandvoort,17,Marek Madeira,Dacia Racing Team,1:18.740,1:18.697,1:18.711,1:18.686,1:18.654,1:18.654,+0.036,+0.712
Zandvoort,18,Clara Longo,Icarus,1:18.741,1:18.884,1:18.829,1:18.918,1:18.901,1:18.741,+0.086,+0.799
