Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Fastest Lap,Status
1,1,1,0,Sydney Aspen,Villiuride Racing,Soft,1:22.333,,Running
1,2,2,0,Jamar Henry,Trike Motorsports,Soft,1:23.911,,Running
1,3,3,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:23.149,,Running
1,4,4,0,Berend Boer,Orange Wheel Racing,Soft,1:23.670,,Running
1,5,5,0,Aida Haque,Scuderia Ivanov Racing,Soft,1:22.967,,Running
1,6,6,0,Mark Graham,Trike Motorsports,Medium,1:24.949,,Running
1,7,7,0,Al Fabet,Villiuride Racing,Hard,1:24.956,,Running
1,8,8,0,Aleksa Kozlov,LFL Engineering,Soft,1:23.744,,Running
1,9,9,0,Ye Li,Racing Life,Soft,1:25.106,,Running
1,10,10,0,Franc Abel,Orange Wheel Racing,Medium,1:25.005,,Running
1,11,11,0,Niamh Murphy,Racing Life,Medium,1:23.861,,Running
1,12,12,0,Monica Niculescu,Dacia Racing Team,Soft,1:25.265,,Running
1,13,13,0,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:25.620,,Running
1,14,14,0,Kanno Sora,LFL Engineering,Hard,1:25.739,,Running
1,15,15,0,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.741,,Running
1,16,16,0,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:24.687,,Running
1,17,17,0,Liesje Roser,Dacia Racing Team,Medium,1:24.646,,Running
1,18,18,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.674,,Running
1,19,19,0,Erwin Kramer,OHSN Racing,Hard,1:24.758,,Running
1,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.792,,Running
2,1,5,4,Aida Haque,Scuderia Ivanov Racing,Soft,1:22.910,,Running
2,2,1,-1,Sydney Aspen,Villiuride Racing,Soft,1:24.388,,Running
2,3,3,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.117,,Running
2,4,6,2,Mark Graham,Trike Motorsports,Medium,1:23.394,,Running
2,5,4,-1,Berend Boer,Orange Wheel Racing,Soft,1:24.576,,Running
2,6,2,-4,Jamar Henry,Trike Motorsports,Soft,1:24.775,,Running
2,7,7,0,Al Fabet,Villiuride Racing,Hard,1:24.042,,Running
2,8,9,1,Ye Li,Racing Life,Soft,1:23.656,,Running
2,9,10,1,Franc Abel,Orange Wheel Racing,Medium,1:23.527,,Running
2,10,8,-2,Aleksa Kozlov,LFL Engineering,Soft,1:23.995,,Running
2,11,14,3,Kanno Sora,LFL Engineering,Hard,1:23.856,,Running
2,12,13,1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.466,,Running
2,13,12,-1,Monica Niculescu,Dacia Racing Team,Soft,1:24.455,,Running
2,14,11,-3,Niamh Murphy,Racing Life,Medium,1:25.289,,Running
2,15,16,1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:23.941,,Running
2,16,15,-1,Fidan Basak,Pulang Kabayo Racing,Soft,1:24.108,,Running
2,17,17,0,Liesje Roser,Dacia Racing Team,Medium,1:24.215,,Running
2,18,18,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:24.742,,Running
2,19,19,0,Erwin Kramer,OHSN Racing,Hard,1:25.373,,Running
2,20,20,0,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:25.679,,Running
3,1,2,1,Sydney Aspen,Villiuride Racing,Soft,1:23.460,,Running
3,2,1,-1,Aida Haque,Scuderia Ivanov Racing,Soft,1:24.328,,Running
3,3,4,1,Mark Graham,Trike Motorsports,Medium,1:24.080,,Running
3,4,5,1,Berend Boer,Orange Wheel Racing,Soft,1:23.900,,Running
3,5,6,1,Jamar Henry,Trike Motorsports,Soft,1:23.990,,Running
3,6,3,-3,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:24.222,,Running
3,7,8,1,Ye Li,Racing Life,Soft,1:22.510,,Running
3,8,10,2,Aleksa Kozlov,LFL Engineering,Soft,1:23.149,,Running
3,9,9,0,Franc Abel,Orange Wheel Racing,Medium,1:23.967,,Running
3,10,7,-3,Al Fabet,Villiuride Racing,Hard,1:26.000,,Running
3,11,16,5,Fidan Basak,Pulang Kabayo Racing,Soft,1:23.206,,Running
3,12,13,1,Monica Niculescu,Dacia Racing Team,Soft,1:23.733,,Running
3,13,12,-1,Ananda Chohan,Mercedes AMG Motorsport,Medium,1:24.157,,Running
3,14,11,-3,Kanno Sora,LFL Engineering,Hard,1:25.187,,Running
3,15,14,-1,Niamh Murphy,Racing Life,Medium,1:25.801,,Running
3,16,15,-1,Thorleif Valtyrsdotter,OHSN Racing,Medium,1:25.375,,Running
3,17,17,0,Liesje Roser,Dacia Racing Team,Medium,1:25.362,,Running
3,18,18,0,Eli Huertez,Pulang Kabayo Racing,Hard,1:25.295,,Running
3,19,20,1,Nelson Ramsey,Scuderia Ivanov Racing,Hard,1:24.554,,Running
