Lap,Position,Last Lap Position,Diff,Driver,Team,Tyre,Lap Time,Gap Ahead,Gap to Leader,Status
1,1,1,0,Jamar Henry,Trike Motorsports,Medium,1:50.317,-,-,Running
1,2,2,0,Franc Abel,Shell Motorsports,Soft,1:50.861,+0.044,+0.044,Running
1,3,3,0,Mark Graham,Trike Motorsports,Medium,1:51.234,+0.623,+0.668,Running
1,4,4,0,Berend Boer,Shell Motorsports,Medium,1:50.900,+0.166,+0.833,Running
1,5,5,0,Sydney Aspen,Villiuride Racing,Medium,1:50.493,+0.093,+0.926,Running
1,6,6,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:51.387,+0.359,+1.285,Running
1,7,7,0,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:49.651,+0.050,+1.335,Running
1,8,8,0,Al Fabet,Villiuride Racing,Medium,1:51.000,+0.349,+1.683,Running
1,9,9,0,Liesje Roser,Dacia Racing Team,Soft,1:50.463,+0.713,+2.397,Running
1,10,10,0,Kanno Sora,LFL Engineering,Medium,1:51.668,+0.204,+2.601,Running
1,11,11,0,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:50.309,+0.142,+2.743,Running
1,12,12,0,Niamh Murphy,Racing Life,Soft,1:49.893,+0.084,+2.826,Running
1,13,13,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:51.810,+0.167,+2.993,Running
1,14,14,0,Aleksa Kozlov,LFL Engineering,Medium,1:51.739,+0.180,+3.173,Running
1,15,15,0,Ye Li,Racing Life,Medium,1:51.954,+0.965,+4.137,Running
1,16,16,0,Aida Haque,Icarus,Medium,1:51.693,+0.739,+4.876,Running
1,17,17,0,Marek Madeira,Dacia Racing Team,Medium,1:52.339,+0.146,+5.022,Running
1,18,18,0,Clara Longo,Icarus,Hard,1:51.881,+0.292,+5.315,Running
2,1,1,0,Jamar Henry,Trike Motorsports,Medium,1:50.651,-,-,Running
2,2,2,0,Franc Abel,Shell Motorsports,Soft,1:49.949,+0.050,+0.050,Running
2,3,5,2,Sydney Aspen,Villiuride Racing,Medium,1:50.179,+0.649,+0.699,Running
2,4,3,-1,Mark Graham,Trike Motorsports,Medium,1:50.025,+0.050,+0.749,Running
2,5,7,2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:49.954,+0.363,+1.112,Running
2,6,9,3,Liesje Roser,Dacia Racing Team,Soft,1:48.936,+0.277,+1.389,Running
2,7,6,-1,Eli Huertez,Pulang Kabayo Racing,Soft,1:50.698,+0.650,+2.039,Running
2,8,8,0,Al Fabet,Villiuride Racing,Medium,1:51.291,+0.531,+2.570,Running
2,9,4,-5,Berend Boer,Shell Motorsports,Medium,1:51.730,+0.050,+2.620,Running
2,10,13,3,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.121,+0.361,+2.981,Running
2,11,10,-1,Kanno Sora,LFL Engineering,Medium,1:50.817,+0.139,+3.120,Running
2,12,11,-1,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:51.238,+0.305,+3.425,Running
2,13,12,-1,Niamh Murphy,Racing Life,Soft,1:51.192,+0.650,+4.075,Running
2,14,14,0,Aleksa Kozlov,LFL Engineering,Medium,1:51.512,+0.666,+4.741,Running
2,15,15,0,Ye Li,Racing Life,Medium,1:51.736,+0.812,+5.553,Running
2,16,18,2,Clara Longo,Icarus,Hard,1:50.232,+0.050,+5.603,Running
2,17,17,0,Marek Madeira,Dacia Racing Team,Medium,1:50.959,+0.434,+6.037,Running
2,18,16,-2,Aida Haque,Icarus,Medium,1:51.576,+0.471,+6.508,Running
3,1,4,3,Mark Graham,Trike Motorsports,Medium,1:48.946,-,-,Running
3,2,2,0,Franc Abel,Shell Motorsports,Soft,1:51.290,+1.123,+1.123,Running
3,3,3,0,Sydney Aspen,Villiuride Racing,Medium,1:50.170,+0.050,+1.173,Running
3,4,6,2,Liesje Roser,Dacia Racing Team,Soft,1:50.167,+0.421,+1.594,Running
3,5,1,-4,Jamar Henry,Trike Motorsports,Medium,1:51.610,+0.216,+1.810,Running
3,6,7,1,Eli Huertez,Pulang Kabayo Racing,Soft,1:50.445,+0.977,+2.788,Running
3,7,5,-2,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:51.533,+0.162,+2.950,Running
3,8,12,4,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:49.529,+0.308,+3.258,Running
3,9,11,2,Kanno Sora,LFL Engineering,Medium,1:50.441,+0.218,+3.475,Running
3,10,10,0,Fidan Basak,Pulang Kabayo Racing,Medium,1:50.241,+0.050,+3.525,Running
3,11,9,-2,Berend Boer,Shell Motorsports,Medium,1:51.017,+0.290,+3.815,Running
3,12,13,1,Niamh Murphy,Racing Life,Soft,1:50.243,+0.385,+4.200,Running
3,13,8,-5,Al Fabet,Villiuride Racing,Medium,1:51.375,+0.050,+4.250,Running
3,14,14,0,Aleksa Kozlov,LFL Engineering,Medium,1:50.457,+0.323,+4.572,Running
3,15,16,1,Clara Longo,Icarus,Hard,1:51.057,+2.391,+6.964,Running
3,16,17,1,Marek Madeira,Dacia Racing Team,Medium,1:51.614,+0.561,+7.525,Running
3,17,15,-2,Ye Li,Racing Life,Medium,1:51.718,+0.050,+7.575,Running
3,18,18,0,Aida Haque,Icarus,Medium,1:51.554,+0.330,+7.905,Running
4,1,1,0,Mark Graham,Trike Motorsports,Medium,1:51.438,-,-,Running
4,2,4,2,Liesje Roser,Dacia Racing Team,Soft,1:49.553,+0.050,+0.050,Running
4,3,2,-1,Franc Abel,Shell Motorsports,Soft,1:50.718,+0.694,+0.744,Running
4,4,7,3,Damien Quibuyen,Mercedes AMG Motorsport,Soft,1:49.488,+0.029,+0.774,Running
4,5,3,-2,Sydney Aspen,Villiuride Racing,Medium,1:50.747,+0.050,+0.824,Running
4,6,6,0,Eli Huertez,Pulang Kabayo Racing,Soft,1:49.919,+0.520,+1.344,Running
4,7,5,-2,Jamar Henry,Trike Motorsports,Medium,1:50.681,+0.050,+1.394,Running
4,8,12,4,Niamh Murphy,Racing Life,Soft,1:48.836,+0.166,+1.560,Running
4,9,10,1,Fidan Basak,Pulang Kabayo Racing,Medium,1:49.994,+0.328,+1.889,Running
4,10,11,1,Berend Boer,Shell Motorsports,Medium,1:49.921,+0.750,+2.639,Running
4,11,8,-3,Ananda Chohan,Mercedes AMG Motorsport,Soft,1:50.716,+0.238,+2.877,Running
4,12,14,2,Aleksa Kozlov,LFL Engineering,Medium,1:49.472,+0.071,+2.948,Running
4,13,13,0,Al Fabet,Villiuride Racing,Medium,1:50.202,+0.065,+3.013,Running
