Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
1,1,Al Fabet,Villiuride Racing,Soft,1,7,1:23.216,0.000,0.000,Running
2,4,Mark Graham,Trike Motorsports,Hard,1,12,1:23.338,3.404,3.404,Running
3,7,Ye Li,Racing Life,Soft,2,11,1:22.762,8.874,5.470,Running
4,2,Sydney Aspen,Villiuride Racing,Soft,2,11,1:22.853,12.352,3.478,Running
5,8,Franc Abel,Orange Wheel Racing,Hard,1,12,1:23.245,13.011,0.659,Running
6,3,Jamar Henry,Trike Motorsports,Soft,2,15,1:23.078,14.047,1.036,Running
7,15,Eli Huertez,Pulang Kabayo Racing,Soft,1,8,1:23.269,14.759,0.712,Running
8,12,Ananda Chohan,Mercedes AMG Motorsport,Hard,1,17,1:23.586,14.907,0.149,Running
9,6,Damien Quibuyen,Mercedes AMG Motorsport,Soft,2,9,1:23.273,14.957,0.050,Running
10,5,Berend Boer,Orange Wheel Racing,Soft,2,9,1:22.441,15.941,0.984,Running
11,14,Niamh Murphy,Racing Life,Hard,1,12,1:23.590,19.254,3.312,Running
12,9,Kanno Sora,LFL Engineering,Soft,1,10,1:22.497,21.215,1.961,Running
13,11,Aleksa Kozlov,LFL Engineering,Soft,2,5,1:23.007,25.155,3.941,Running
14,16,Nelson Ramsey,Scuderia Ivanov Racing,Soft,1,7,1:23.862,25.244,0.089,Running
15,18,Liesje Roser,Dacia Racing Team,Hard,1,11,1:23.785,25.293,0.049,Running
16,10,Aida Haque,Scuderia Ivanov Racing,Soft,2,6,1:22.683,29.070,3.777,Running
17,17,Fidan Basak,Pulang Kabayo Racing,Soft,2,10,1:23.194,30.574,1.503,Running
18,19,Thorleif Valtyrsdotter,OHSN Racing,Hard,1,9,1:23.727,41.457,10.883,Running
19,13,Monica Niculescu,Dacia Racing Team,Soft,2,11,1:22.941,,,Mechanical failure on lap 45
20,20,Erwin Kramer,OHSN Racing,Hard,0,0,1:23.954,,,Mechanical failure on lap 9
