Track,Position,Starting Position,Driver,Team,Tyre,Pit Stops,Overtakes,Fastest Lap,Gap to Leader,Gap Ahead,Status
Nurburgring GP,1,3,Jamar Henry,Trike Motorsports,Hard,1,12,1:49.464,0.000,0.000,Running
Nurburgring GP,2,1,Franc Abel,Shell Motorsports,Medium,2,6,1:48.975,1.378,1.378,Running
Nurburgring GP,3,2,Berend Boer,Shell Motorsports,Hard,1,11,1:49.306,1.940,0.562,Running
Nurburgring GP,4,14,Niamh Murphy,Racing Life,Medium,2,11,1:49.048,2.159,0.219,Running
Nurburgring GP,5,12,Al Fabet,Villiuride Racing,Hard,1,4,1:49.646,7.511,5.351,Running
Nurburgring GP,6,4,Mark Graham,Trike Motorsports,Soft,2,10,1:49.052,11.186,3.676,Running
Nurburgring GP,7,16,Fidan Basak,Pulang Kabayo Racing,Hard,1,7,1:49.899,17.953,6.766,Running
Nurburgring GP,8,5,Sydney Aspen,Villiuride Racing,Soft,2,14,1:49.220,20.154,2.201,Running
Nurburgring GP,9,13,Damien Quibuyen,Mercedes AMG Motorsport,Soft,2,11,1:49.457,20.921,0.767,Running
Nurburgring GP,10,8,Ye Li,Racing Life,Hard,1,7,1:49.597,22.121,1.200,Running
Nurburgring GP,11,9,Kanno Sora,LFL Engineering,Hard,2,6,1:49.514,33.923,11.802,Running
Nurburgring GP,12,17,Aida Haque,Icarus,Hard,1,3,1:49.996,36.631,2.708,Running
Nurburgring GP,13,15,Aleksa Kozlov,LFL Engineering,Medium,2,9,1:49.596,40.828,4.197,Running
Nurburgring GP,14,18,Clara Longo,Icarus,Medium,1,9,1:50.209,45.828,5.000,Running
Nurburgring GP,15,10,Liesje Roser,Dacia Racing Team,Medium,1,4,1:49.181,56.893,11.066,Running
Nurburgring GP,16,11,Ananda Chohan,Mercedes AMG Motorsport,Medium,1,9,1:49.704,78.336,21.443,Running
Nurburgring GP,17,7,Eli Huertez,Pulang Kabayo Racing,Soft,2,8,1:49.307,,,Crashed on lap 52
Nurburgring GP,18,6,Monica Niculescu,Dacia Racing Team,Medium,1,7,1:49.011,,,Mechanical failure on lap 24
